journalname,IF
International Journal of Cultural Studies,2.4
International Data Privacy Law,2.4
Museum Management and Curatorship,2.4
Asia Pacific Law Review,2.4
Journal of Corporate Law Studies,2.4
Philosophy Ethics and Humanities in Medicine,2.4
Philosophy Ethics and Humanities in Medicine,2.4
Philosophy Ethics and Humanities in Medicine,2.4
Philosophy Ethics and Humanities in Medicine,2.4
MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,2.4
PACIFIC REVIEW,2.4
PACIFIC REVIEW,2.4
GEOMETRY & TOPOLOGY,2.4
Feminist Legal Studies,2.4
Feminist Legal Studies,2.4
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,2.4
Review of European Comparative & International Environmental Law,2.4
Review of European Comparative & International Environmental Law,2.4
Swiss Journal of Palaeontology,2.4
British Journal of Politics & International Relations,2.4
British Journal of Politics & International Relations,2.4
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,2.4
INTEGRATIVE AND COMPARATIVE BIOLOGY,2.4
E-Learning and Digital Media,2.4
Informatics in Education,2.4
JOURNAL OF INVERTEBRATE PATHOLOGY,2.4
JUSTICE QUARTERLY,2.4
NanoEthics,2.4
NanoEthics,2.4
SECURITY DIALOGUE,2.4
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,2.4
CLINICAL ANATOMY,2.4
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,2.4
Social Semiotics,2.4
Social Semiotics,2.4
Social Semiotics,2.4
Journal of Intervention and Statebuilding,2.4
Papers in Palaeontology,2.4
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,2.4
STUDIES IN APPLIED MATHEMATICS,2.4
European Journal of Social Theory,2.4
GEOGRAPHICAL ANALYSIS,2.4
Research in Social Stratification and Mobility,2.4
Cultural Diversity & Ethnic Minority Psychology,2.4
Cultural Diversity & Ethnic Minority Psychology,2.4
Review of African Political Economy,2.4
Review of African Political Economy,2.4
Review of Public Personnel Administration,2.4
Affilia-Feminist Inquiry in Social Work,2.4
Affilia-Feminist Inquiry in Social Work,2.4
ESP Today-Journal of English for Specific Purposes at Tertiary Level,2.4
RURAL SOCIOLOGY,2.4
Canadian Journal of Nursing Research,2.4
EQUINE VETERINARY JOURNAL,2.4
Open Learning,2.4
BJGP Open,2.4
VIOLENCE AGAINST WOMEN,2.4
APPLIED PSYCHOLINGUISTICS,2.4
APPLIED PSYCHOLINGUISTICS,2.4
JOURNAL OF VETERINARY INTERNAL MEDICINE,2.4
Research in Autism Spectrum Disorders,2.4
Research in Autism Spectrum Disorders,2.4
Research in Autism Spectrum Disorders,2.4
Research in Autism Spectrum Disorders,2.4
Current Opinion in Toxicology,2.4
PARTY POLITICS,2.4
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,2.4
Journal of Public Policy,2.4
Journal of Public Policy,2.4
International Journal of Medical Robotics and Computer Assisted Surgery,2.4
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,2.4
INTERNATIONAL ORTHOPAEDICS,2.4
JOURNAL OF FAMILY PSYCHOLOGY,2.4
JOURNAL OF FAMILY PSYCHOLOGY,2.4
JOURNAL OF ORTHOPAEDIC RESEARCH,2.4
Population Space and Place,2.4
Population Space and Place,2.4
SOCIAL POLITICS,2.4
SOCIAL POLITICS,2.4
Zeitschrift fur Psychologie-Journal of Psychology,2.4
American Journal of Biological Anthropology,2.4
American Journal of Biological Anthropology,2.4
Bilingualism-Language and Cognition,2.4
Bilingualism-Language and Cognition,2.4
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,2.4
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,2.4
SAGE Open,2.4
Classroom Discourse,2.4
Clinical Simulation in Nursing,2.4
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.4
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.4
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.4
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.4
JMIR Perioperative Medicine,2.4
JOURNAL OF RISK RESEARCH,2.4
BMC Surgery,2.4
JDS Communications,2.4
Journal of Teaching in Travel & Tourism,2.4
Mobile Media & Communication,2.4
Frontiers in Neuroanatomy,2.4
Frontiers in Neuroanatomy,2.4
Swiss Journal of Geosciences,2.4
ALCOHOL-CLINICAL AND EXPERIMENTAL RESEARCH,2.4
BRAIN AND LANGUAGE,2.4
BRAIN AND LANGUAGE,2.4
BRAIN AND LANGUAGE,2.4
BRAIN AND LANGUAGE,2.4
POPULATION AND ENVIRONMENT,2.4
POPULATION AND ENVIRONMENT,2.4
Chiropractic & Manual Therapies,2.4
International Public Management Journal,2.4
Foot and Ankle Surgery,2.4
International Journal of Qualitative Studies on Health and Well-Being,2.4
International Journal of Qualitative Studies on Health and Well-Being,2.4
International Journal of Qualitative Studies on Health and Well-Being,2.4
Journal of Health Organization and Management,2.4
SICOT-J,2.4
SOCIOLOGY OF SPORT JOURNAL,2.4
SOCIOLOGY OF SPORT JOURNAL,2.4
SOCIOLOGY OF SPORT JOURNAL,2.4
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,2.4
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,2.4
Journal of Plastic Reconstructive and Aesthetic Surgery,2.4
KNEE,2.4
KNEE,2.4
KNEE,2.4
Substance Use & Addiction Journal,2.4
Clinical and Experimental Dental Research,2.4
Israel Journal of Health Policy Research,2.4
Israel Journal of Health Policy Research,2.4
MIND & LANGUAGE,2.4
MIND & LANGUAGE,2.4
Annals of Pediatric Endocrinology & Metabolism,2.4
Annals of Pediatric Endocrinology & Metabolism,2.4
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2.4
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2.4
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2.4
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.4
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.4
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.4
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,2.4
OPTOMETRY AND VISION SCIENCE,2.4
Aquaculture Environment Interactions,2.4
Aquaculture Environment Interactions,2.4
Journal of Studies on Alcohol and Drugs,2.4
Journal of Studies on Alcohol and Drugs,2.4
International Journal of Workplace Health Management,2.4
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,2.4
JOURNAL OF PSYCHOACTIVE DRUGS,2.4
JOURNAL OF PSYCHOACTIVE DRUGS,2.4
PUBLIC CHOICE,2.4
PUBLIC CHOICE,2.4
Emotion Space and Society,2.4
Emotion Space and Society,2.4
HEALTHCARE MANAGEMENT FORUM,2.4
HEALTHCARE MANAGEMENT FORUM,2.4
JOURNAL OF FINANCIAL INTERMEDIATION,2.4
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,2.4
INFANT BEHAVIOR & DEVELOPMENT,2.4
Journal of Applied Research in Memory and Cognition,2.4
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2.4
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2.4
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2.4
TEACHING AND LEARNING IN MEDICINE,2.4
TEACHING AND LEARNING IN MEDICINE,2.4
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,2.4
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,2.4
Journal of Stomatology Oral and Maxillofacial Surgery,2.4
Transactions in GIS,2.4
Journal of Financial Reporting,2.4
Journal of Institutional Economics,2.4
Progress of Theoretical and Experimental Physics,2.4
Progress of Theoretical and Experimental Physics,2.4
HYDROBIOLOGIA,2.4
INDIAN JOURNAL OF PEDIATRICS,2.4
INFANCY,2.4
PEDIATRIC PULMONOLOGY,2.4
PEDIATRIC PULMONOLOGY,2.4
Saudi Dental Journal,2.4
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2.4
Economics of Innovation and New Technology,2.4
Palliative & Supportive Care,2.4
Annali di Igiene Medicina Preventiva e di Comunita,2.4
Epidemics,2.4
Journal of Competitiveness,2.4
Journal of Competitiveness,2.4
Journal of Competitiveness,2.4
Journal of Industrial and Business Economics,2.4
JOURNAL OF PEDIATRIC PSYCHOLOGY,2.4
Sexual Medicine,2.4
Sexual Medicine,2.4
Applied Physiology Nutrition and Metabolism,2.4
Applied Physiology Nutrition and Metabolism,2.4
Applied Physiology Nutrition and Metabolism,2.4
Clinical Genitourinary Cancer,2.4
Clinical Genitourinary Cancer,2.4
EPILEPSY & BEHAVIOR,2.4
EPILEPSY & BEHAVIOR,2.4
EPILEPSY & BEHAVIOR,2.4
JOURNAL OF AGING STUDIES,2.4
Occupational Health Science,2.4
Occupational Health Science,2.4
Research and Reports in Urology,2.4
Comparative Immunology Reports,2.4
Comparative Immunology Reports,2.4
Comparative Immunology Reports,2.4
CRYSTENGCOMM,2.4
CRYSTENGCOMM,2.4
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,2.4
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,2.4
International Journal of Sports Physical Therapy,2.4
JOURNAL OF AIRCRAFT,2.4
JOURNAL OF GAMBLING STUDIES,2.4
JOURNAL OF GAMBLING STUDIES,2.4
ORGANOMETALLICS,2.4
ORGANOMETALLICS,2.4
Schizophrenia Research-Cognition,2.4
Schizophrenia Research-Cognition,2.4
Tobacco Induced Diseases,2.4
Tobacco Induced Diseases,2.4
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,2.4
Clinical Optometry,2.4
DRUGS-EDUCATION PREVENTION AND POLICY,2.4
Epidemiology and Health,2.4
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,2.4
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,2.4
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,2.4
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,2.4
Journal of the Association for Consumer Research,2.4
Journal of the Association for Consumer Research,2.4
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,2.4
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,2.4
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,2.4
RADIATION RESEARCH,2.4
RADIATION RESEARCH,2.4
RADIATION RESEARCH,2.4
Agribusiness,2.4
Agribusiness,2.4
Agribusiness,2.4
INTERNATIONAL JOURNAL OF PSYCHOLOGY,2.4
JOURNAL OF CAREER DEVELOPMENT,2.4
JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION,2.4
Pharmacoeconomics-Open,2.4
Pharmacoeconomics-Open,2.4
Pharmacoeconomics-Open,2.4
Pharmacoeconomics-Open,2.4
Research in Sports Medicine,2.4
Statistical Theory and Related Fields,2.4
Tertiary Education and Management,2.4
Australian Journal of Rural Health,2.4
Australian Journal of Rural Health,2.4
GENES BRAIN AND BEHAVIOR,2.4
GENES BRAIN AND BEHAVIOR,2.4
Information Discovery and Delivery,2.4
Journal of Research in Applied Linguistics,2.4
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,2.4
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,2.4
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,2.4
Osteoporosis and Sarcopenia,2.4
Osteoporosis and Sarcopenia,2.4
ANNALS OF NUCLEAR MEDICINE,2.4
Clinical and Experimental Nephrology,2.4
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,2.4
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2.4
Parasite Epidemiology and Control,2.4
Parasite Epidemiology and Control,2.4
Parasite Epidemiology and Control,2.4
Sexual and Gender Diversity in Social Services,2.4
Acta Kinesiologica,2.4
AREA,2.4
Childrens Geographies,2.4
Current Pediatric Reviews,2.4
Dermatology Practical & Conceptual,2.4
INFANT AND CHILD DEVELOPMENT,2.4
Review of Development Economics,2.4
Review of Development Economics,2.4
Supply Chain Forum,2.4
BEHAVIOR GENETICS,2.4
BEHAVIOR GENETICS,2.4
BEHAVIOR GENETICS,2.4
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,2.4
G3-Genes Genomes Genetics,2.4
Journal of Global Information Technology Management,2.4
Safety,2.4
American Journal of Mens Health,2.4
Estuaries and Coasts,2.4
Estuaries and Coasts,2.4
JMIR Formative Research,2.4
JMIR Formative Research,2.4
REVISTA DE SAUDE PUBLICA,2.4
Voluntas,2.4
Infection and Chemotherapy,2.4
JOURNAL OF ECT,2.4
JOURNAL OF ECT,2.4
Journal of International Commerce Economics and Policy,2.4
PEDIATRIC BLOOD & CANCER,2.4
PEDIATRIC BLOOD & CANCER,2.4
PEDIATRIC BLOOD & CANCER,2.4
ACTA NEUROPSYCHIATRICA,2.4
ACTA NEUROPSYCHIATRICA,2.4
International Health,2.4
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,2.4
Patient-Related Outcome Measures,2.4
PERCEPTUAL AND MOTOR SKILLS,2.4
Small-Scale Forestry,2.4
Area Development and Policy,2.4
Journal of Sport Psychology in Action,2.4
MARINE GEOPHYSICAL RESEARCH,2.4
MARINE GEOPHYSICAL RESEARCH,2.4
Science Editing,2.4
STATISTICAL METHODS IN MEDICAL RESEARCH,2.4
STATISTICAL METHODS IN MEDICAL RESEARCH,2.4
STATISTICAL METHODS IN MEDICAL RESEARCH,2.4
STATISTICAL METHODS IN MEDICAL RESEARCH,2.4
TECTONOPHYSICS,2.4
TOXICOLOGIC PATHOLOGY,2.4
TOXICOLOGIC PATHOLOGY,2.4
Ultrasonography,2.4
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2.4
JOURNAL OF MOLECULAR NEUROSCIENCE,2.4
JOURNAL OF MOLECULAR NEUROSCIENCE,2.4
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,2.4
ANNALS OF REGIONAL SCIENCE,2.4
ANNALS OF REGIONAL SCIENCE,2.4
ANNALS OF REGIONAL SCIENCE,2.4
ANNALS OF REGIONAL SCIENCE,2.4
International Journal of Educational Research and Innovation,2.4
NJAS-Impact in Agricultural and Life Sciences,2.4
PSYCHIATRY RESEARCH-NEUROIMAGING,2.4
PSYCHIATRY RESEARCH-NEUROIMAGING,2.4
PSYCHIATRY RESEARCH-NEUROIMAGING,2.4
Hamostaseologie,2.4
INTERNATIONAL JOURNAL OF MENTAL HEALTH,2.4
Inventions,2.4
JBJS Essential Surgical Techniques,2.4
JBJS Essential Surgical Techniques,2.4
JOURNAL OF ASIAN EARTH SCIENCES,2.4
Journal of Central Nervous System Disease,2.4
THIRD WORLD QUARTERLY,2.4
Addiction Neuroscience,2.4
AQUATIC SCIENCES,2.4
AQUATIC SCIENCES,2.4
AQUATIC SCIENCES,2.4
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,2.4
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,2.4
CEAS Aeronautical Journal,2.4
EVOLUTION & DEVELOPMENT,2.4
EVOLUTION & DEVELOPMENT,2.4
EVOLUTION & DEVELOPMENT,2.4
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2.4
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2.4
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2.4
METHODS OF INFORMATION IN MEDICINE,2.4
METHODS OF INFORMATION IN MEDICINE,2.4
METHODS OF INFORMATION IN MEDICINE,2.4
NEUROENDOCRINOLOGY,2.4
NEUROENDOCRINOLOGY,2.4
Sleep Medicine-X,2.4
SOFTWARE QUALITY JOURNAL,2.4
Cross Cultural & Strategic Management,2.4
Journal of Analytical Science and Technology,2.4
OCCUPATIONAL MEDICINE-OXFORD,2.4
Pulmonary Circulation,2.4
Pulmonary Circulation,2.4
Recent Patents on Anti-Cancer Drug Discovery,2.4
Recent Patents on Anti-Cancer Drug Discovery,2.4
Schizophrenia Bulletin Open,2.4
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,2.4
IEEE PHOTONICS TECHNOLOGY LETTERS,2.4
IEEE PHOTONICS TECHNOLOGY LETTERS,2.4
IEEE PHOTONICS TECHNOLOGY LETTERS,2.4
MARINE GEORESOURCES & GEOTECHNOLOGY,2.4
MARINE GEORESOURCES & GEOTECHNOLOGY,2.4
MARINE GEORESOURCES & GEOTECHNOLOGY,2.4
MARINE GEORESOURCES & GEOTECHNOLOGY,2.4
Sleep and Breathing,2.4
Sleep and Breathing,2.4
Theoretical and Experimental Plant Physiology,2.4
CROP SCIENCE,2.4
Food and Environmental Virology,2.4
Food and Environmental Virology,2.4
Food and Environmental Virology,2.4
Food and Environmental Virology,2.4
JMIR Cardio,2.4
Journal of Developmental Biology,2.4
Journal of Place Management and Development,2.4
Polish Maritime Research,2.4
Acta Geophysica,2.4
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,2.4
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,2.4
Canadian Journal of Infectious Diseases & Medical Microbiology,2.4
Canadian Journal of Infectious Diseases & Medical Microbiology,2.4
CHIRALITY,2.4
CHIRALITY,2.4
CHIRALITY,2.4
CHIRALITY,2.4
Clinics,2.4
Current Tropical Medicine Reports,2.4
Current Tropical Medicine Reports,2.4
Current Tropical Medicine Reports,2.4
HIV AIDS-Research and Palliative Care,2.4
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,2.4
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,2.4
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,2.4
International Review of Environmental and Resource Economics,2.4
Journal of Facilities Management,2.4
JTCVS Techniques,2.4
JTCVS Techniques,2.4
Nonlinear Engineering - Modeling and Application,2.4
Nonlinear Engineering - Modeling and Application,2.4
RENEWABLE AGRICULTURE AND FOOD SYSTEMS,2.4
Seminars in Vascular Surgery,2.4
Seminars in Vascular Surgery,2.4
Biology Methods & Protocols,2.4
Breast Journal,2.4
Breast Journal,2.4
Cryptography,2.4
Cryptography,2.4
CURRENT PROBLEMS IN CANCER,2.4
Explore-The Journal of Science and Healing,2.4
FIRE TECHNOLOGY,2.4
FIRE TECHNOLOGY,2.4
Frontiers of Biogeography,2.4
Frontiers of Biogeography,2.4
Integrated Pharmacy Research and Practice,2.4
International Journal of Geosynthetics and Ground Engineering,2.4
JOURNAL OF REGIONAL SCIENCE,2.4
JOURNAL OF REGIONAL SCIENCE,2.4
JOURNAL OF REGIONAL SCIENCE,2.4
JOURNAL OF WATER AND HEALTH,2.4
JOURNAL OF WATER AND HEALTH,2.4
Network Modeling Analysis in Health Informatics and Bioinformatics,2.4
Physical and Engineering Sciences in Medicine,2.4
Physical and Engineering Sciences in Medicine,2.4
World Patent Information,2.4
Actuators,2.4
Actuators,2.4
Clinical Trials,2.4
Frontiers in Ophthalmology,2.4
Pharmacogenomics & Personalized Medicine,2.4
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,2.4
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,2.4
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,2.4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,2.4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,2.4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,2.4
RADIATION AND ENVIRONMENTAL BIOPHYSICS,2.4
WEB ECOLOGY,2.4
WEB ECOLOGY,2.4
Atmospheric Science Letters,2.4
CHINA OCEAN ENGINEERING,2.4
CHINA OCEAN ENGINEERING,2.4
CHINA OCEAN ENGINEERING,2.4
CHINA OCEAN ENGINEERING,2.4
CONSERVATION GENETICS,2.4
CONSERVATION GENETICS,2.4
Data,2.4
Data,2.4
JOURNAL OF VIBRATION AND CONTROL,2.4
JOURNAL OF VIBRATION AND CONTROL,2.4
JOURNAL OF VIBRATION AND CONTROL,2.4
Revista da Sociedade Brasileira de Medicina Tropical,2.4
Revista da Sociedade Brasileira de Medicina Tropical,2.4
Hormones-International Journal of Endocrinology and Metabolism,2.4
Indian Journal of Psychiatry,2.4
JOURNAL OF OCEANOGRAPHY,2.4
LEUKEMIA RESEARCH,2.4
LEUKEMIA RESEARCH,2.4
Maritime Studies,2.4
MICROCIRCULATION,2.4
MICROCIRCULATION,2.4
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2.4
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2.4
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2.4
Neurology Research International,2.4
WEED SCIENCE,2.4
WEED SCIENCE,2.4
Impact Assessment and Project Appraisal,2.4
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,2.4
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,2.4
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,2.4
Entertainment Computing,2.4
Entertainment Computing,2.4
Entertainment Computing,2.4
Geriatrics,2.4
iRADIOLOGY,2.4
Journal of International Entrepreneurship,2.4
Leadership,2.4
Saudi Journal of Medicine & Medical Sciences,2.4
ANNALS OF GLACIOLOGY,2.4
ANNALS OF GLACIOLOGY,2.4
Australasian Journal of Environmental Management,2.4
Healthcare Technology Letters,2.4
IEEE Sensors Letters,2.4
IEEE Sensors Letters,2.4
IEEE Sensors Letters,2.4
JOURNAL DE MYCOLOGIE MEDICALE,2.4
Journal of Membrane Computing,2.4
Obesity Research & Clinical Practice,2.4
Obesity Research & Clinical Practice,2.4
Express Polymer Letters,2.4
GEMS & GEMOLOGY,2.4
JOURNAL OF THERMAL STRESSES,2.4
JOURNAL OF THERMAL STRESSES,2.4
NEW ASTRONOMY,2.4
Sustainable and Resilient Infrastructure,2.4
WETLANDS,2.4
WETLANDS,2.4
Cardiovascular Engineering and Technology,2.4
Cardiovascular Engineering and Technology,2.4
Clinical Obesity,2.4
Critical Perspectives on International Business,2.4
Current Alzheimer Research,2.4
Current Alzheimer Research,2.4
DIGESTIVE DISEASES,2.4
European Journal of Environmental and Civil Engineering,2.4
European Journal of Environmental and Civil Engineering,2.4
Human Factors and Ergonomics in Manufacturing & Service Industries,2.4
Human Factors and Ergonomics in Manufacturing & Service Industries,2.4
INTERNATIONAL REGIONAL SCIENCE REVIEW,2.4
INTERNATIONAL REGIONAL SCIENCE REVIEW,2.4
INTERNATIONAL REGIONAL SCIENCE REVIEW,2.4
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,2.4
REVISTA ARGENTINA DE MICROBIOLOGIA,2.4
SOLAR PHYSICS,2.4
Tzu Chi Medical Journal,2.4
Asia Pacific Business Review,2.4
Asia Pacific Business Review,2.4
Frontiers in Astronomy and Space Sciences,2.4
Journal of Environmental Studies and Sciences,2.4
Journal of Environmental Studies and Sciences,2.4
Journal of Macromolecular Science Part A-Pure and Applied Chemistry,2.4
JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,2.4
JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,2.4
REHABILITATION,2.4
Water Practice and Technology,2.4
Agroecology and Sustainable Food Systems,2.4
Agroecology and Sustainable Food Systems,2.4
Application of Clinical Genetics,2.4
CANADIAN JOURNAL OF MICROBIOLOGY,2.4
CANADIAN JOURNAL OF MICROBIOLOGY,2.4
CHEMPHYSCHEM,2.4
CHEMPHYSCHEM,2.4
CMC-Computers Materials & Continua,2.4
CMC-Computers Materials & Continua,2.4
DISEASES OF THE ESOPHAGUS,2.4
Experimental Neurobiology,2.4
Experimental Neurobiology,2.4
IEEE Systems Man and Cybernetics Magazine,2.4
IEEJ Journal of Industry Applications,2.4
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,2.4
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2.4
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2.4
GAIA-Ecological Perspectives for Science and Society,2.4
GAIA-Ecological Perspectives for Science and Society,2.4
International Review on Public and Nonprofit Marketing,2.4
OncoTargets and Therapy,2.4
OncoTargets and Therapy,2.4
Chemical Data Collections,2.4
DESIGNED MONOMERS AND POLYMERS,2.4
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,2.4
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,2.4
KSCE Journal of Civil Engineering,2.4
Molecular Omics,2.4
MEDICAL ENGINEERING & PHYSICS,2.4
Radiation Oncology Journal,2.4
Foresight,2.4
IET Image Processing,2.4
IET Image Processing,2.4
IET Image Processing,2.4
JOURNAL OF BIOMATERIALS APPLICATIONS,2.4
JOURNAL OF BIOMATERIALS APPLICATIONS,2.4
Translational and Clinical Pharmacology,2.4
CURRENT CARDIOLOGY REVIEWS,2.4
Current Vascular Pharmacology,2.4
Current Vascular Pharmacology,2.4
Euro-Mediterranean Journal for Environmental Integration,2.4
Thin Solid Films,2.4
Thin Solid Films,2.4
Thin Solid Films,2.4
Thin Solid Films,2.4
BMJ Leader,2.4
CEREAL CHEMISTRY,2.4
CEREAL CHEMISTRY,2.4
Current Infectious Disease Reports,2.4
ECS Journal of Solid State Science and Technology,2.4
ECS Journal of Solid State Science and Technology,2.4
Journal of Computer Networks and Communications,2.4
Biotechnology and Genetic Engineering Reviews,2.4
Biotechnology and Genetic Engineering Reviews,2.4
Canadian Pharmacists Journal,2.4
Drug Research,2.4
Frontiers in Space Technologies,2.4
Frontiers in Space Technologies,2.4
Heart International,2.4
Journal of Biochemistry,2.4
Shape Memory and Superelasticity,2.4
Canadian Water Resources Journal,2.4
FASEB BioAdvances,2.4
FASEB BioAdvances,2.4
JOURNAL OF ELASTOMERS AND PLASTICS,2.4
JOURNAL OF ELASTOMERS AND PLASTICS,2.4
Journal of Electrochemical Science and Engineering,2.4
KOREA-AUSTRALIA RHEOLOGY JOURNAL,2.4
KOREA-AUSTRALIA RHEOLOGY JOURNAL,2.4
Nanotechnology and Precision Engineering,2.4
Nanotechnology and Precision Engineering,2.4
Nanotechnology and Precision Engineering,2.4
Energy Sources Part B-Economics Planning and Policy,2.4
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,2.4
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,2.4
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,2.4
SCANDINAVIAN JOURNAL OF IMMUNOLOGY,2.4
JOURNAL OF CHEMICAL AND ENGINEERING DATA,2.4
JOURNAL OF CHEMICAL AND ENGINEERING DATA,2.4
JOURNAL OF CHEMICAL AND ENGINEERING DATA,2.4
Mini-Reviews in Organic Chemistry,2.4
Advances in Bridge Engineering,2.4
Advances in Bridge Engineering,2.4
Chemistry Africa-A Journal of the Tunisian Chemical Society,2.4
CURRENT OPINION IN ONCOLOGY,2.4
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,2.4
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,2.4
Journal of the Iranian Chemical Society,2.4
Open Chemistry,2.4
Electronic Structure,2.4
Electronic Structure,2.4
Electronic Structure,2.4
Journal of Astronomy and Space Sciences,2.4
